batch,dot,zdot,div
592,2.34729979,0.135900947,1.781450453
593,0.4105106927,2.545386659,1.746637739
594,2.206804769,3.076816253,1.242014331
595,0.6732027932,0.7517643581,1.294782718
596,2.354990495,3.774539245,2.173549562
597,3.108004979,2.803448583,2.302953993
598,1.351085888,2.62437673,3.029833396
599,2.693429579,2.804750303,1.698412367
600,2.961865353,1.915435532,1.69894393
601,3.011419643,2.662724052,1.632924894
602,1.639184278,0.8086330552,2.74968411
603,2.14186233,1.624693301,0.01070147082
604,2.450808096,1.164372362,1.853688243
605,1.467702411,2.209514393,3.106176495
606,0.2328569057,3.902422808,2.529961527
607,3.536465073,2.183519732,1.964176239
608,0.996115557,3.111189757,0.8081579445
609,1.95501657,1.760634582,1.39898606
610,3.074455951,2.084277027,1.748250314
611,0.8621851089,0.5534964381,1.697348429
612,3.330345549,2.094783985,1.636487968
613,2.093933687,0.6908108743,2.097860344
614,2.042835044,1.847377943,2.22453158
615,2.850120042,2.382701998,0.6894082335
616,2.995033028,-0.1404649331,1.029330779
617,3.823691287,3.676850811,0.7385768175
618,2.312942186,-0.3229645875,2.132850075
619,2.937702529,2.886901458,2.547196061
620,2.996791401,1.842008341,1.289296731
621,2.12865697,1.248673089,2.262977718
622,2.749455843,1.360062086,2.460735499
623,0.7884279993,0.7780751413,3.363092335
624,2.951103182,0.6500410868,3.491594886
625,-0.08688110067,2.442422445,2.37632109
626,3.004618203,1.035915876,1.306201987
627,2.344798373,2.819609734,1.591100191
628,0.8597985952,-0.6659046682,0.8782117155
629,0.7896950861,0.9819684262,1.833608791
630,2.406333023,0.6488489346,1.234461664
631,3.212777544,-1.580983472,1.771959481
632,2.495110018,2.000802379,2.474961653
633,3.259369421,1.393546948,1.969697475
634,0.5481448424,1.364592278,1.044012603
635,3.175707116,2.032562745,2.089001966
636,3.744659063,2.988555763,3.890877246
637,2.718093107,1.532450515,1.729431301
638,1.765392284,2.940711097,-0.4291213015
639,2.345551795,0.7664003157,2.917622447
640,-0.07352148885,1.955936912,0.9294675824
641,1.648850661,2.502532333,1.974982115
642,0.5750934499,1.027308295,1.838708459
643,-1.143342064,-0.3807384059,1.075242153
644,1.608065218,0.3885531594,2.013186642
645,3.07101551,1.833435221,1.508657771
646,3.819057813,3.061443787,1.765349389
647,1.303539412,0.7033650364,1.914461361
648,0.5752529495,0.4480159734,2.250610958
649,2.449801384,2.367401185,2.843361944
650,1.715594047,2.279149294,1.896731297
651,0.3382516186,4.108311113,3.84303181
652,0.9052325911,2.015100331,0.9729743136
653,3.230245351,4.681193685,1.661409509
654,0.6353506291,3.281135808,2.050805701
655,3.457533498,0.6829739725,-0.1612621267
656,0.7261064972,2.148472799,1.989964782
657,1.755311737,2.81527129,2.67187253
658,3.485656502,0.8383287067,0.5521821735
659,2.794147394,-0.9441621377,-0.3819992208
660,1.389208764,0.4470401856,0.7991230766
661,2.154146998,1.226031651,0.5883263098
662,2.413784782,3.579734853,1.690290653
663,4.79022552,2.784041419,2.469712048
664,3.006734821,2.856071493,0.2224772492
665,1.07318353,2.925816104,2.277232448
666,1.570156757,3.22420508,3.566670384
667,3.502911452,2.545082902,2.746147946
668,2.918119796,0.6150864888,0.2893139171
669,0.08768683795,1.796429286,2.555118302
670,2.611299439,1.702085989,1.214584344
